Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
,,Acetylsalicylic Acid 500 mg tablet,Acetylsalicylate sodium,Tablet,500 mg,
,,Acetylsalicylic Acid,Acetylsalicylate sodium,Tablet,,
,,Acetylsalicylic Acid 300 mg enteric-coated tablet,Acetylsalicylate sodium,Enteric-coated tablet,300 mg,
,,Acetylsalicylic Acid 500 mg enteric-coated tablet,Acetylsalicylate sodium,Enteric-coated tablet,500 mg,
,,Diclofenac 50 mg,Diclofenac,Tablet,50 mg,
,,Diclofenac 25 mg/ml,Diclofenac,Injection,25 mg/ml,
,,Ibuprofen 200 mg,Ibuprofen,Tablet,200 mg,
,,Ibuprofen 400 mg,Ibuprofen,Tablet,400 mg,
,,Ibuprofen 100 mg/5 ml,Ibuprofen,Oral solution,100 mg/5 ml,
,,Mefenamic acid 250 mg,Mefenamic acid,Oral capsule,250 mg,
,,Mefenamic acid 500 mg,Mefenamic acid,Oral capsule,500 mg,
,,Paracetamol 500 mg,Acetaminophen,Tablet,500 mg,
,,Paracetamol 650 mg,Acetaminophen,Tablet,650 mg,
,,Paracetamol 150 mg/ml,Acetaminophen,Injection,150 mg/ml,
,,Paracetamol 80 mg,Acetaminophen,Suppository,80 mg,
,,Paracetamol 170 mg,Acetaminophen,Suppository,170 mg,
,,Fentanyl 50 mcg/ml,Fentanyl,Injection,50 mcg/ml,
,,Morphine 10 mg,Morphine,Tablet,10 mg,
,,Tramadol 50 mg,Tramadol,Oral capsule,50 mg,
,,Tramadol 100 mg,Tramadol,Oral capsule,100 mg,
,,Tramadol 50 mg/ml,Tramadol,Injection,50 mg/ml,
,,Allopurinol 100 mg,Allopurinol,Tablet,100 mg,
,,Allopurinol 300 mg,Allopurinol,Tablet,300 mg,
,,Colchicine 0.5 mg,Colchicine,Tablet,0.5 mg,
,,Azathioprine 50 mg,Azathioprine,Tablet,50 mg,
,,Hydroxychloroquine 200 mg,Hydroxychloroquine,Tablet,200 mg,
,,Hydroxychloroquine 400 mg,Hydroxychloroquine,Tablet,400 mg,
,,Leflunomide 10 mg,Leflunomide,Tablet,10 mg,
,,Leflunomide 20 mg,Leflunomide,Tablet,20 mg,
,,Methotrexate 5 mg,Methotrexate,Tablet,5 mg,
,,Methotrexate 7.5 mg,Methotrexate,Tablet,7.5 mg,
,,Methotrexate 10 mg,Methotrexate,Tablet,10 mg,
,,Methotrexate 25 mg/ ml,Methotrexate,Injection,25 mg/ ml,
,,Sulfasalazine 500 mg,Sulfasalazine,Tablet,500 mg,
,,Epinephrine 1 mg/ml,Epinephrine,Injection,1 mg/ml,
,,Cetirizine 10 mg,Cetirizine,Tablet,10 mg,
,,Cetirizine 5 mg/5 ml,Cetirizine,Oral solution,5 mg/5 ml,
,,Chlorpheniramine maleate 4 mg,Chlorpheniramine maleate,Tablet,4 mg,
,,Chlorpheniramine maleate 2 mg/5 ml,Chlorpheniramine maleate,Oral solution,2 mg/5 ml,
,,Dexamethasone 0.5 mg,Dexamethasone,Tablet,0.5 mg,
,,Dexamethasone 4 mg/ml,Dexamethasone,Injection,4 mg/ml,
,,Hydrocortisone 100 mg powder for injection,Hydrocortisone,Powder for injection,100 mg,
,,Pheniramine 22.75 mg/ml,Pheniramine,Injection,22.75 mg/ml,
,,Prednisolone 5 mg,Prednisolone,Tablet,5 mg,
,,Prednisolone 10 mg,Prednisolone,Tablet,10 mg,
,,Prednisolone 5 mg/5 ml,Prednisolone,Oral solution,5 mg/5 ml,
,,Prednisolone 15 mg/5 ml,Prednisolone,Oral solution,15 mg/5 ml,
,,Activated charcoal,Activated charcoal,Powder,,
,,Atropine 1 mg/ml,Atropine,Injection,1 mg/ml,
,,Calcium gluconate 100 mg/ml,Calcium gluconate,Injection,100 mg/ml,
,,Deferoxamine 500 mg,Deferoxamine,Powder for injection,500 mg,
,,Methylene blue 10 mg/ml,Methylene blue,Injection,10 mg/ml,
,,Naloxone 0.4 mg/ml,Naloxone,Injection,0.4 mg/ml,
,,Neostigmine 0.5 mg/ml,Neostigmine,Injection,0.5 mg/ml,
,,"Snake antivenom, polyvalent injection","Snake antivenom, polyvalent",Injection,,
,,"Snake antivenom, polyvalent powder for injection","Snake antivenom, polyvalent",Powder for injection,,
,,Pralidoxime chloride 25 mg/ml,Pralidoxime chloride,Injection,25 mg/ml,
,,Sodium nitrite 30 mg/ml,Sodium nitrite,Injection,30 mg/ml,
,,Sodium thiosulfate 100 mg/ml,Sodium thiosulfate,Injection,100 mg/ml,
,,Carbamazepine 100 mg,Carbamazepine,Tablet,100 mg,
,,Carbamazepine 200 mg,Carbamazepine,Tablet,200 mg,
,,Carbamazepine 400 mg,Carbamazepine,Tablet,400 mg,
,,Carbamazepine 100 mg/5 ml,Carbamazepine,Oral solution,100 mg/5 ml,
,,Carbamazepine 200 mg/5 ml,Carbamazepine,Oral solution,200 mg/5 ml,
,,Diazepam 2 mg/5 ml,Diazepam,Oral solution,2 mg/5 ml,
,,Diazepam 5 mg/ml,Diazepam,Injection,5 mg/ml,
,,Diazepam 5 mg,Diazepam,Suppository,5 mg,
,,Lorazepam 1 mg,Lorazepam,Tablet,1 mg,
,,Lorazepam 2 mg,Lorazepam,Tablet,2 mg,
,,Lorazepam 2 mg/ml,Lorazepam,Injection,2 mg/ml,
,,Magnesium sulfate 500 mg/ml,Magnesium sulfate,Injection,500 mg/ml,
,,Phenobarbital 30 mg,Phenobarbital,Tablet,30 mg,
,,Phenobarbital 60 mg,Phenobarbital,Tablet,60 mg,
,,Phenobarbital 20 mg/5 ml,Phenobarbital,Oral Solution,20 mg/5 ml,
,,Phenobarbital 200 mg/ml,Phenobarbital,Injection,200 mg/ml,
,,Phenytoin 50 mg,Phenytoin,Tablet,50 mg,
,,Phenytoin 100 mg,Phenytoin,Tablet,100 mg,
,,Phenytoin 300 mg tablet,Phenytoin,Tablet,300 mg,
,,Phenytoin 300 mg enteric-coated tablet,Phenytoin,Enteric-coated tablet,300 mg,
,,Phenytoin 30 mg/5 ml,Phenytoin,Oral solution,30 mg/5 ml,
,,Phenytoin 125 mg/5 ml,Phenytoin,Oral solution,125 mg/5 ml,
,,Phenytoin 25 mg/ml,Phenytoin,Injection,25 mg/ml,
,,Phenytoin 50 mg/ml,Phenytoin,Injection,50 mg/ml,
,,Sodium valproate 200 mg,Sodium valproate,Tablet,200 mg,
,,Sodium valproate 300 mg,Sodium valproate,Tablet,300 mg,
,,Sodium valproate 200 mg/5ml,Sodium valproate,Oral solution,200 mg/5ml,
,,Sodium valproate 100 mg/ml,Sodium valproate,Injection,100 mg/ml,
,,Albendazole 400 mg,Albendazole,Tablet,400 mg,
,,Albendazole 200 mg/5 ml,Albendazole,Oral solution,200 mg/5 ml,
,,Mebendazole 100 mg,Mebendazole,Tablet,100 mg,
,,Mebendazole 100 mg/5 ml,Mebendazole,Oral solution,100 mg/5 ml,
,,Diethylcarbamazine 50 mg,Diethylcarbamazine,Tablet,50 mg,
,,Diethylcarbamazine 100 mg,Diethylcarbamazine,Tablet,100 mg,
,,Diethylcarbamazine 120 mg/5 ml,Diethylcarbamazine,Oral solution,120 mg/5 ml,
,,Praziquantel 600 mg,Praziquantel,Tablet,600 mg,
,,Amoxicillin 250 mg,Amoxicillin,Oral capsule,250 mg,
,,Amoxicillin 500 mg,Amoxicillin,Oral capsule,500 mg,
,,Amoxicillin 250 mg/5 ml,Amoxicillin,Oral solution,250 mg/5 ml,
,,Amoxicillin 500 mg + Clavulanic acid 125 mg,Amoxicillin and clavulanic acid,Tablet,,
,,Amoxicillin 200 mg + Clavulanic acid 28.5 mg /5 ml,Amoxicillin and clavulanic acid,Oral solution,,
,,Amoxicillin 125 mg + Clavulanic acid 31.25mg /5 ml,Amoxicillin and clavulanic acid,Powder suspension,,
,,Amoxicillin 1g + Clavulanic acid 200 mg,Amoxicillin and clavulanic acid,Powder for injection,,
,,Amoxicillin 500mg + Clavulanic acid 100mg,Amoxicillin and clavulanic acid,Powder for injection,,
,,Ampicillin 500 mg,Ampicillin,Powder for injection,500 mg,
,,"Penicillin G, benzathine 1 g","Penicillin G, benzathine",Powder for injection,1 g,
,,"Penicillin G, benzathine 6 lac units","Penicillin G, benzathine",Powder for injection,6 lac units,
,,"Penicillin G, benzathine 12 lac units","Penicillin G, benzathine",Powder for injection,12 lac units,
,,Penicillin G 10 lac units,Penicillin G,Powder for injection,10 lac units,
,,Cefadroxil 500 mg,Cefadroxil,Tablet,500 mg,
,,Cefadroxil 1 g,Cefadroxil,Tablet,1 g,
,,Cefadroxil 125 mg/5 ml,Cefadroxil,Oral solution,125 mg/5 ml,
,,Cefazolin 500 mg,Cefazolin,Powder for injection,500 mg,
,,Cefazolin 1 g,Cefazolin,Powder for injection,1 g,
,,Cefixime 200 mg,Cefixime,Tablet,200 mg,
,,Cefixime 400 mg,Cefixime,Tablet,400 mg,
,,Cefixime 50 mg/5 ml,Cefixime,Oral solution,50 mg/5 ml,
,,Cefixime 100 mg/5 ml,Cefixime,Oral solution,100 mg/5 ml,
,,Cefotaxime 250 mg,Cefotaxime,Powder for injection,250 mg,
,,Cefotaxime 500 mg,Cefotaxime,Powder for injection,500 mg,
,,Cefotaxime 1 g,Cefotaxime,Powder for injection,1 g,
,,Ceftazidime 250 mg,Ceftazidime,Powder for injection,250 mg,
,,Ceftazidime 1 g,Ceftazidime,Powder for injection,1 g,
,,Ceftriaxone 250 mg,Ceftriaxone,Powder for injection,250 mg,
,,Ceftriaxone 500 mg,Ceftriaxone,Powder for injection,500 mg,
,,Ceftriaxone 1 g,Ceftriaxone,Powder for injection,1 g,
,,Cloxacillin 250 mg oral capsule,Cloxacillin,Oral capsule,250 mg,
,,Cloxacillin 500 mg,Cloxacillin,Oral capsule,500 mg,
,,Cloxacillin 125 mg/5 ml,Cloxacillin,Oral solution,125 mg/5 ml,
,,Cloxacillin 250 mg powder for injection,Cloxacillin,Powder for injection,250 mg,
,,Azithromycin 250 mg,Azithromycin,Tablet,250 mg,
,,Azithromycin 500 mg tablet,Azithromycin,Tablet,500 mg,
,,Azithromycin 200 mg/5ml,Azithromycin,Oral solution,200 mg/5ml,
,,Azithromycin 500 mg powder for injection,Azithromycin,Powder for injection,500 mg,
,,Ciprofloxacin 250 mg,Ciprofloxacin,Tablet,250 mg,
,,Ciprofloxacin 500 mg,Ciprofloxacin,Tablet,500 mg,
,,Ciprofloxacin 250 mg/5ml,Ciprofloxacin,Oral solution,250 mg/5ml,
,,Ciprofloxacin 200 mg/100 ml,Ciprofloxacin,Injection,200 mg/100 ml,
,,Co-trimoxazole [Sulphamethoxazole 400 mg + Trimethoprim 80 mg],Sulfamethoxazole / trimethoprim,Tablet,,
,,Co-trimoxazole [Sulphamethoxazole 800 mg + Trimethoprim 160 mg],Sulfamethoxazole / trimethoprim,Tablet,,
,,Co-trimoxazole [Sulphamethoxazole 200 mg + Trimethoprim 40 mg /5 ml],Sulfamethoxazole / trimethoprim,Oral solution,,
,,Doxycycline 100 mg,Doxycycline,Oral capsule,100 mg,
,,Gentamicin 10 mg/ml,Gentamicin,Injection,10 mg/ml,
,,Gentamicin 40 mg/ml,Gentamicin,Injection,40 mg/ml,
,,Metronidazole 200 mg,Metronidazole,Tablet,200 mg,
,,Metronidazole 200 mg/5 ml,Metronidazole,Oral solution,200 mg/5 ml,
,,Metronidazole 500 mg/100 ml,Metronidazole,Injection,500 mg/100 ml,
,,Nitrofurantoin 100 mg,Nitrofurantoin,Tablet,100 mg,
,,Nitrofurantoin 25 mg/5 ml,Nitrofurantoin,Oral solution,25 mg/5 ml,
,,Clofazimine 50 mg,Clofazimine,Oral capsule,50 mg,
,,Clofazimine 100 mg,Clofazimine,Oral capsule,100 mg,
,,Dapsone 25 mg,Dapsone,Tablet,25 mg,
,,Dapsone 50 mg,Dapsone,Tablet,50 mg,
,,Dapsone 100 mg,Dapsone,Tablet,100 mg,
,,Rifampicin 150 mg,Rifampicin,Oral capsule,150 mg,
,,Rifampicin 300 mg,Rifampicin,Oral capsule,300 mg,
,,Capreomycin 1 g,Capreomycin,Powder for injection,1 g,
,,Clotrimazole 100 mg,Clotrimazole,Pessary,100 mg,
,,Fluconazole 100 mg,Fluconazole,Tablet,100 mg,
,,Fluconazole 50 mg,Fluconazole,Tablet,50 mg,
,,Fluconazole 150 mg,Fluconazole,Tablet,150 mg,
,,Fluconazole 200 mg,Fluconazole,Tablet,200 mg,
,,Fluconazole 400 mg,Fluconazole,Tablet,400 mg,
,,Fluconazole 50 mg/5 ml,Fluconazole,Oral solution,50 mg/5 ml,
,,Fluconazole 200 mg /100 ml,Fluconazole,Injection,200 mg /100 ml,
,,Griseofulvin 125 mg,Griseofulvin,Tablet,125 mg,
,,Griseofulvin 250 mg,Griseofulvin,Tablet,250 mg,
,,Griseofulvin 375 mg,Griseofulvin,Tablet,375 mg,
,,Acyclovir 200 mg,Acyclovir,Tablet,200 mg,
,,Acyclovir 400 mg,Acyclovir,Tablet,400 mg,
,,Acyclovir 250 mg,Acyclovir,Powder for injection,250 mg,
,,Acyclovir 500 mg,Acyclovir,Powder for injection,500 mg,
,,Acyclovir 400 mg/5 ml,Acyclovir,Oral solution,400 mg/5 ml,
,,Entecavir 0.5 mg,Entecavir,Tablet,0.5 mg,
,,Entecavir 1 mg,Entecavir,Tablet,1 mg,
,,Peginterferon alfa-2a 180 mcg,Peginterferon alfa-2a,Injection,180 mcg,
,,Peginterferon alfa-2a 80 mcg,Peginterferon alfa-2a,Injection,80 mcg,
,,Peginterferon alfa-2a 100 mcg,Peginterferon alfa-2a,Injection,100 mcg,
,,Peginterferon alfa-2a 120 mcg,Peginterferon alfa-2a,Injection,120 mcg,
,,Ribavirin 200 mg,Ribavirin,Oral capsule,200 mg,
,,Sofosbuvir 400 mg,Sofosbuvir,Tablet,400 mg,
,,Tenofovir 300 mg,Tenofovir disoproxil,Tablet,300 mg,
,,Metronidazole 400 mg,Metronidazole,Tablet,400 mg,
,,Amphotericin B 50 mg,Amphotericin B,Powder for injection,50 mg,
,,"Amphotericin B, liposomal 50 mg","Amphotericin B, liposomal",Powder for injection,50 mg,
,,Amphotericin B lipid complex 50 mg,Amphotericin B lipid complex,Powder for injection,50 mg,
,,Artemether 40 mg + Lumefantrine 240 mg,Artemether-lumefantrine,Tablet,,
,,Artemether 80 mg + Lumefantrine 480 mg,Artemether-lumefantrine,Tablet,,
,,Artemether 20 mg + Lumefantrine 120 mg,Artemether-lumefantrine,Tablet,,
,,Artemether 80 mg + Lumefantrine 480 mg /5 ml,Artemether-lumefantrine,Oral solution,,
,,Artesunate 60 mg,Artesunate,Powder for injection,60 mg,
,,Artesunate 120 mg,Artesunate,Powder for injection,120 mg,
,,Artesunate 25 mg,Artesunate,Tablet,,
,,Artesunate 50 mg,Artesunate,Tablet,,
,,Artesunate 100 mg,Artesunate,Tablet,,
,,Artesunate 150 mg,Artesunate,Tablet,,
,,Artesunate 200 mg,Artesunate,Tablet,,
,,Sulphadoxine - Pyrimethamine (250 mg + 12.5 mg),Sulfadoxine and pyrimethamine,Tablet,,
,,Sulphadoxine - Pyrimethamine (500 mg + 25 mg),Sulfadoxine and pyrimethamine,Tablet,,
,,Sulphadoxine - Pyrimethamine (750 mg + 37.5 mg),Sulfadoxine and pyrimethamine,Tablet,,
,,Chloroquine 150 mg,Chloroquine,Tablet,150 mg,
,,Chloroquine 50 mg/5 ml,Chloroquine,Oral solution,50 mg/5 ml,
,,Primaquine 2.5 mg,Primaquine,Tablet,2.5 mg,
,,Primaquine 7.5 mg,Primaquine,Tablet,7.5 mg,
,,Primaquine 15 mg,Primaquine,Tablet,15 mg,
,,Quinine 300 mg,Quinine,Tablet,300 mg,
,,Quinine 300 mg/ml,Quinine,Injection,300 mg/ml,
,,Flunarizine 5 mg,Flunarizine,Tablet,5 mg,
,,Flunarizine 10 mg,Flunarizine,Tablet,10 mg,
,,Propranolol 40 mg,Propranolol,Tablet,40 mg,
,,Propranolol 10 mg,Propranolol,Tablet,10 mg,
,,Propranolol 80 mg,Propranolol,Tablet,80 mg,
,,Epoetin alfa 2000 IU/ml,Epoetin alfa,Injection,2000 IU/ml,
,,Epoetin alfa 10000 IU/ml,Epoetin alfa,Injection,10000 IU/ml,
,,"Ferrous sulfate,dried equivalent to 60 mg of elemental iron","Ferrous sulfate,dried",Tablet,equivalent to 60 mg of elemental iron,
,,"Ferrous sulfate,dried equivalent to 25 mg of elemental iron/ml","Ferrous sulfate,dried",Oral solution,equivalent to 25 mg of elemental iron/ml,
,,Ferrous salt 45mg elemental iron + Folic acid 400 mcg,Ferrous sulfate and folic acid,Tablet,,
,,Ferrous salt 100 mg elemental iron + Folic acid 500 mcg,Ferrous sulfate and folic acid,Tablet,,
,,Ferrous salt 20 mg elemental iron + Folic acid 100 mcg /ml,Ferrous sulfate and folic acid,Oral solution,,
,,Folic acid 5 mg,Folic acid,Tablet,5 mg,
,,Hydroxocobalamin 1 mg/ml,Hydroxocobalamin,Injection,1 mg/ml,
,,Hydroxyurea 500 mg,Hydroxyurea,Oral capsule,500 mg,
,,Iron 20 mg/ml,Iron,Injection,20 mg/ml,
,,Enoxaparin 40 mg/0.4 ml,Enoxaparin,Injection,40 mg/0.4 ml,
,,Enoxaparin 60 mg/0.6 ml,Enoxaparin,Injection,60 mg/0.6 ml,
,,Heparin 5000 IU/ml,Heparin,Injection,5000 IU/ml,
,,Vitamin K 1 Tablet 10mg,Vitamin K 1,Tablet,Tablet 10mg,
,,Vitamin K 1 10 mg/ml,Vitamin K 1,Injection,10 mg/ml,
,,Protamines 10 mg/ml,Protamines,Injection,10 mg/ml,
,,Tranexamic acid 500 mg,Tranexamic acid,Tablet,500 mg,
,,Tranexamic acid 100 mg/ml,Tranexamic acid,Injection,100 mg/ml,
,,Warfarin 1mg,Warfarin,Tablet,1mg,
,,Warfarin 2 mg,Warfarin,Tablet,2 mg,
,,Warfarin 3 mg,Warfarin,Tablet,3 mg,
,,Warfarin 5 mg,Warfarin,Tablet,5 mg,
,,Clopidogrel 75 mg,Clopidogrel,Tablet,75 mg,
,,Diltiazem 30 mg,Diltiazem,Tablet,30 mg,
,,Diltiazem 60 mg,Diltiazem,Tablet,60 mg,
,,Diltiazem 90 mg,Diltiazem,Sustained-release tablet,90 mg,
,,Diltiazem 5 mg/ml,Diltiazem,Injection,5 mg/ml,
,,Nitroglycerin 0.5 mg,Nitroglycerin,Sublingual tablet,0.5 mg,
,,Nitroglycerin 5 mg/ml,Nitroglycerin,Injection,5 mg/ml,
,,Isosorbide mononitrate 10 mg,Isosorbide mononitrate,Tablet,10 mg,
,,Isosorbide mononitrate 20 mg,Isosorbide mononitrate,Tablet,20 mg,
,,Isosorbide mononitrate 30 mg,Isosorbide mononitrate,Sustained-release tablet,30 mg,
,,Isosorbide mononitrate 60 mg,Isosorbide mononitrate,Sustained-release tablet,60 mg,
,,Isosorbide dinitrate 5 mg,Isosorbide dinitrate,Tablet,5 mg,
,,Isosorbide dinitrate 10 mg,Isosorbide dinitrate,Tablet,10 mg,
,,Metoprolol 25 mg tablet,Metoprolol,Tablet,25 mg,
,,Metoprolol 50 mg tablet,Metoprolol,Tablet,50 mg,
,,Metoprolol 25 mg sustained-release tablet,Metoprolol,Sustained-release tablet,25 mg,
,,Metoprolol 50 mg sustained-release tablet,Metoprolol,Sustained-release tablet,50 mg,
,,Adenosine 3 mg/ml,Adenosine,Injection,3 mg/ml,
,,Amiodarone 100 mg,Amiodarone,Tablet,100 mg,
,,Amiodarone 200 mg,Amiodarone,Tablet,200 mg,
,,Amiodarone 50 mg/ml,Amiodarone,Injection,50 mg/ml,
,,Verapamil 40 mg,Verapamil,Tablet,40 mg,
,,Verapamil 80 mg,Verapamil,Tablet,80 mg,
,,Verapamil 2.5 mg/ml,Verapamil,Injection,2.5 mg/ml,
,,Dobutamine 50 mg/ml,Dobutamine,Injection,50 mg/ml,
,,Dopamine 40 mg/ml,Dopamine,Injection,40 mg/ml,
,,Amlodipine 2.5 mg,Amlodipine,Tablet,2.5 mg,
,,Amlodipine 5 mg,Amlodipine,Tablet,5 mg,
,,Amlodipine 10 mg,Amlodipine,Tablet,10 mg,
,,Atenolol 50 mg,Atenolol,Tablet,50 mg,
,,Atenolol 100 mg,Atenolol,Tablet,100 mg,
,,Enalapril 2.5 mg,Enalapril,Tablet,2.5 mg,
,,Enalapril 5 mg,Enalapril,Tablet,5 mg,
,,Hydrochlorothiazide 12.5 mg,Hydrochlorothiazide,Tablet,12.5 mg,
,,Hydrochlorothiazide 25 mg,Hydrochlorothiazide,Tablet,25 mg,
,,Labetalol 5 mg/ml,Labetalol,Injection,5 mg/ml,
,,Methyldopa 250 mg,Methyldopa,Tablet,250 mg,
,,Methyldopa 500 mg,Methyldopa,Tablet,500 mg,
,,Ramipril 2.5 mg,Ramipril,Tablet,2.5 mg,
,,Ramipril 5 mg,Ramipril,Tablet,5 mg,
,,Telmisartan 20 mg,Telmisartan,Tablet,20 mg,
,,Telmisartan 40 mg,Telmisartan,Tablet,40 mg,
,,Telmisartan 80 mg,Telmisartan,Tablet,80 mg,
,,Digoxin 0.25 mg,Digoxin,Tablet,0.25 mg,
,,Digoxin 0.05 mg/ml,Digoxin,Oral solution,0.05 mg/ml,
,,Digoxin 0.25 mg/ml,Digoxin,Injection,0.25 mg/ml,
,,Noradrenaline 2 mg/ml,Norepinephrine,Injection,2 mg/ml,
,,Acetylsalicylic acid 75 mg,Acetylsalicylate sodium,Tablet,75 mg,
,,Acetylsalicylic acid 100 mg,Acetylsalicylate sodium,Tablet,100 mg,
,,Acetylsalicylic acid 150 mg,Acetylsalicylate sodium,Tablet,150 mg,
,,Heparin 1000 IU/ml,Heparin,Injection,1000 IU/ml,
,,"Streptokinase 750,000 IU",Streptokinase,Injection,"750,000 IU",
,,"Streptokinase 15,00,000 IU",Streptokinase,Injection,"15,00,000 IU",
,,Atorvastatin 10 mg,Atorvastatin,Tablet,10 mg,
,,Atorvastatin 20 mg,Atorvastatin,Tablet,20 mg,
,,Atorvastatin 40 mg,Atorvastatin,Tablet,40 mg,
,,Clotrimazole 1% cream,Clotrimazole,Cream,1%,
,,Gentian violet 0.25%,Gentian violet,Solution,0.25%,
,,Gentian violet 2%,Gentian violet,Solution,2%,
,,Povidone-iodine 4%,Povidone-iodine,Solution,4%,
,,Povidone-iodine 10%,Povidone-iodine,Solution,10%,
,,Silver sulfadiazine 1%,Silver sulfadiazine,Cream,1%,
,,Betamethasone 0.05%,Betamethasone,Cream,0.05%,
,,Betamethasone 0.10%,Betamethasone,Cream,0.10%,
,,Calamine,Calamine,Lotion,,
,,Benzoyl peroxide 2.50%,Benzoyl peroxide,Gel,2.50%,
,,Coal tar 5%,Coal tar,Solution,5%,
,,Salicylic acid 6%,Salicylic acid,Ointment,6%,
,,Glycerol,Glycerol,Oral solution,,
,,"Petrolatum, white","Petrolatum, white",Jelly,,
,,Permethrin 1%,Permethrin,Lotion,1%,
,,Permethrin 5%,Permethrin,Cream,5%,
,,Fluorescein 1%,Fluorescein,Drops,1%,
,,Lidocaine 4%,Lidocaine,Drops,4%,
,,Tropicamide 1% eye drop,Tropicamide,Drops,1%,
,,Barium sulfate 100% w/v,Barium sulfate,Oral solution,100% w/v,
,,Barium sulfate 250% w/v,Barium sulfate,Oral solution,250% w/v,
,,Iohexol 140 mg iodine/ml,Iohexol,Injection,140 mg iodine/ml,
,,Iohexol 350 mg iodine/ml,Iohexol,Injection,350 mg iodine/ml,
,,Cetrimide 20%,Cetrimide,Solution,20%,
,,Chlorhexidine 5%,Chlorhexidine,Solution,5%,
,,Denatured ethanol 70%,Denatured ethanol,Solution,70%,
,,Glutaral 2%,Glutaral,Solution,2%,
,,Potassium permanganate,Potassium permanganate,Crystals,,
,,Furosemide 40 mg,Furosemide,Tablet,40 mg,
,,Furosemide 10 mg/ml,Furosemide,Oral solution,10 mg/ml,
,,Furosemide 10 mg/ ml,Furosemide,Injection,10 mg/ ml,
,,Hydrochlorothiazide 50 mg,Hydrochlorothiazide,Tablet,50 mg,
,,Mannitol 10%,Mannitol,Injection,10%,
,,Mannitol 20%,Mannitol,Injection,20%,
,,Spironolactone 25 mg,Spironolactone,Tablet,25 mg,
,,Spironolactone 50 mg,Spironolactone,Tablet,50 mg,
,,Clotrimazole 1% drops,Clotrimazole,Drops,1%,
,,Xylometazoline 0.05%,Xylometazoline,Nasal solution,0.05%,
,,Xylometazoline 0.10%,Xylometazoline,Nasal solution,0.10%,
,,Omeprazole 10 mg,Omeprazole,Oral capsule,10 mg,
,,Omeprazole 20 mg,Omeprazole,Oral capsule,20 mg,
,,Pantoprazole 40 mg,Pantoprazole,Injection,40 mg,
,,Ranitidine 150 mg,Ranitidine,Tablet,150 mg,
,,Ranitidine 75 mg/5 ml,Ranitidine,Oral solution,75 mg/5 ml,
,,Ranitidine 25 mg/ml,Ranitidine,Injection,25 mg/ml,
,,Domperidone 10 mg,Domperidone,Tablet,10 mg,
,,Domperidone 1 mg/ml,Domperidone,Oral solution,1 mg/ml,
,,Ondansetron 4 mg,Ondansetron,Tablet,4 mg,
,,Ondansetron 2 mg/5 ml,Ondansetron,Oral solution,2 mg/5 ml,
,,Ondansetron 2 mg/ml,Ondansetron,Injection,2 mg/ml,
,,Dicyclomine 10 mg,Dicyclomine,Tablet,10 mg,
,,Dicyclomine 10mg/5ml,Dicyclomine,Oral solution,10mg/5ml,
,,Dicyclomine 10 mg/ml,Dicyclomine,Injection,10 mg/ml,
,,Hyoscine butylbromide 10 mg,Hyoscine butylbromide,Tablet,10 mg,
,,Hyoscine butylbromide 20 mg/ml,Hyoscine butylbromide,Injection,20 mg/ml,
,,Bisacodyl 5 mg tablet,Bisacodyl,Tablet,5 mg,
