uuid,Members,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:860
c3a93ac6-4e9a-4044-96fb-738047585131,,Ethyl Alcohol,Alcool éthylique à 70 % 100ml,Ethyl Alcohol,Alcool éthylique à 70 % 100ml,Drug,N/A,,
55a5ddd8-6aa8-4eb1-960c-4dbabc4c8f3e,,Ethyl Alcohol,Alcool éthylique à 70 % 125ml,Ethyl Alcohol,Alcool éthylique à 70 % 125ml,Drug,N/A,,
79e7cd72-ee6f-44dd-b9c9-3d069143c403,,Ethyl Alcohol,Alcool éthylique à 70 % 1L,Ethyl Alcohol,Alcool éthylique à 70 % 1L,Drug,N/A,,
f2d76013-6662-45ce-8a5d-5439a7fc9c45,,Ethyl Alcohol,Alcool éthylique à 70 % 500ml,Ethyl Alcohol,Alcool éthylique à 70 % 500ml,Drug,N/A,,
6b527619-937d-4f03-aad3-555113210474,,Ethyl Alcohol,Alcool éthylique à 95 % 100ml,Ethyl Alcohol,Alcool éthylique à 95 % 100ml,Drug,N/A,,
8a849330-b894-4e42-861d-438ac4ceb9dd,,Ethyl Alcohol,Alcool éthylique à 95 % 125ml,Ethyl Alcohol,Alcool éthylique à 95 % 125ml,Drug,N/A,,
42b02ab8-f170-4409-9b0b-16c3d66874c8,,Ethyl Alcohol,Alcool éthylique à 95 % 1L,Ethyl Alcohol,Alcool éthylique à 95 % 1L,Drug,N/A,,
383881e5-633f-4fef-a0f4-0ae9ce7051be,,Ethyl Alcohol,Alcool éthylique à 95 % 500ml,Ethyl Alcohol,Alcool éthylique à 95 % 500ml,Drug,N/A,,
5dc73f43-f4a3-4ab9-98e8-e2c6c6d4dac4,,Ethyl Alcohol,Alcool éthylique à 95% 20L,Ethyl Alcohol,Alcool éthylique à 95% 20L,Drug,N/A,,
463db177-9c1c-489a-85a0-d8eb0c17f21d,,Ethyl Alcohol,Alcool éthylique fut 230L,Ethyl Alcohol,Alcool éthylique fut 230L,Drug,N/A,,
89758c1b-d77f-4a10-94bb-47f60e21096f,,Ethyl Alcohol,Alcool éthylique fut 250L,Ethyl Alcohol,Alcool éthylique fut 250L,Drug,N/A,,
cc4086df-ca7b-4c7e-b2e2-951ff4185c34,,Alizapride,Alizapride,Alizapride,Alizapride,Drug,N/A,,
d1008718-1c1d-4024-8673-86b86d56252c,,Allopurinol,Allopurinol 100mg,Allopurinol,Allopurinol 100mg,Drug,N/A,,
d8ef3bb4-4d3f-4124-883d-21fd8401105f,,Aluminum Hydroxide,Aluminium Hydroxyde 500mg,Aluminum Hydroxide,Aluminium Hydroxyde 500mg,Drug,N/A,,
8110845f-4121-42cd-be3c-2bac8d0d0109,,Sodium Amidotrizoate,Amidotrizoate de sodium,Sodium Amidotrizoate,Amidotrizoate de sodium,Drug,N/A,,
2083af16-21bb-40cc-adc4-61088056cdb6,,Amikacin,Amikacine 500mg,Amikacin,Amikacine 500mg,Drug,N/A,,
ecaff386-8003-4792-902f-17ff6c182d75,,Aminophylline,Aminophylline 100mg,Aminophylline,Aminophylline 100mg,Drug,N/A,,
b48e687f-d578-4594-9789-27a2f10037df,,Aminophylline,"Aminophylline 25mg/ml, 250mg /10ml",Aminophylline,"Aminophylline 25mg/ml, 250mg /10ml",Drug,N/A,,
cafc57a4-2875-41fe-be58-9cd10dcd1346,,Amiodarone,Amiodarone 100mg,Amiodarone,Amiodarone 100mg,Drug,N/A,,
a413eff0-b200-40a8-bf1a-7f7377613c9f,,Amiodarone,Amiodarone 200mg,Amiodarone,Amiodarone 200mg,Drug,N/A,,
ede4b70f-6eef-44b7-85f8-163355e24d04,,Amiodarone,Amiodarone 50mg/ml,Amiodarone,Amiodarone 50mg/ml,Drug,N/A,,
80feaaae-c4ee-4fa8-b9bb-6396a2440301,,Amlodipine,Amlodipine 10mg,Amlodipine,Amlodipine 10mg,Drug,N/A,,
6d051b34-7048-458b-b5eb-553e0133716b,,Amlodipine,Amlodipine 5mg,Amlodipine,Amlodipine 5mg,Drug,N/A,,
ae5fd29a-7884-449a-b0a6-f1d398620b4e,,Amoxycillin,Amoxycilline 250mg poudre pour 100ml,Amoxycillin,Amoxycilline 250mg poudre pour 100ml,Drug,N/A,,
0971ec4e-774d-44b7-be2d-dd170fd6a118,,Amoxycillin,Amoxycilline 250mg poudre pour 60ml,Amoxycillin,Amoxycilline 250mg poudre pour 60ml,Drug,N/A,,
83774614-9545-45c2-9061-ca5e9493bc4a,,Amoxycillin,Amoxycilline 250mg/5ml,Amoxycillin,Amoxycilline 250mg/5ml,Drug,N/A,,
0a8835da-97d8-4c56-a8dd-c875a152e189,,Amoxycillin,"Amoxycilline 250mg/5ml poudre pour, 60ml",Amoxycillin,"Amoxycilline 250mg/5ml poudre pour, 60ml",Drug,N/A,,
87ad4d1c-5bcc-4a32-bb8f-846e2818e956,,Amoxycillin,"Amoxycilline 500mg, sous blister",Amoxycillin,"Amoxycilline 500mg, sous blister",Drug,N/A,,
356f5f05-0f83-49f1-9b2a-436bae4e82e2,,Amoxycillin,"Amoxycilline 500mg, sous blister -",Amoxycillin,"Amoxycilline 500mg, sous blister -",Drug,N/A,,
ea42a40b-f50b-4420-8c81-11a269befd09,,Amoxycillin + Clavulanic Acid,Amoxycilline+Acide Clavulanique 1000mg+125mg,Amoxycillin + Clavulanic Acid,Amoxycilline+Acide Clavulanique 1000mg+125mg,Drug,N/A,,
87453691-2426-49a6-9023-2c03bdcaaba0,,Amoxycillin + Clavulanic Acid,"Amoxycilline+Acide Clavulanique 250mg+31,25mg susp buvable",Amoxycillin + Clavulanic Acid,"Amoxycilline+Acide Clavulanique 250mg+31,25mg susp buvable",Drug,N/A,,
8d4d60ee-ec76-4bab-90a3-35c798eb13ca,,Amoxycillin + Clavulanic Acid,Amoxycilline+Acide Clavulanique 500mg+125mg,Amoxycillin + Clavulanic Acid,Amoxycilline+Acide Clavulanique 500mg+125mg,Drug,N/A,,
21fd4ec1-72c6-4f36-8fa1-686ddf279df2,,Amoxycillin + Clavulanic Acid,Amoxycilline+Acide Clavulanique 500mg+50mg/FL,Amoxycillin + Clavulanic Acid,Amoxycilline+Acide Clavulanique 500mg+50mg/FL,Drug,N/A,,
ef6ced68-37a7-45ce-8afa-66ae2b40895f,,Amoxycillin + Clavulanic Acid,"Amoxycilline+Acide Clavulanique 500mg+62,5mg",Amoxycillin + Clavulanic Acid,"Amoxycilline+Acide Clavulanique 500mg+62,5mg",Drug,N/A,,
731a4a97-03e0-4cb3-9bfa-c75d59c026a8,,Amphotericin B,Amphotéricine B 250mg,Amphotericin B,Amphotéricine B 250mg,Drug,N/A,,
5ed361d0-b6a8-4287-8563-da56400f5f8a,,Amphotericin B,Amphotéricine B 500mg,Amphotericin B,Amphotéricine B 500mg,Drug,N/A,,
3d01cb0c-a63f-4a5b-8c5d-da1618a71fc6,,Amphotericin B,Amphotéricine B Lysomal 50mg/,Amphotericin B,Amphotéricine B Lysomal 50mg/,Drug,N/A,,
c829d227-683c-45ee-9157-4c5b91ff7941,,Ampicillin,"Ampiciline 1000mg/3,2ml",Ampicillin,"Ampiciline 1000mg/3,2ml",Drug,N/A,,
80df9afa-739d-422e-bfed-58011b86a33a,,Ampicillin,"Ampiciline 500mg/3,2ml",Ampicillin,"Ampiciline 500mg/3,2ml",Drug,N/A,,
65b8d7b0-51e9-4739-94a6-ba84c3f7ef74,,Ampicillin,Ampicilline PPI 1g,Ampicillin,Ampicilline PPI 1g,Drug,N/A,,
1598e79e-0023-4aad-a441-308a08a30a5b,,Amytriptilyne,Amytriptilyne 25mg,Amytriptilyne,Amytriptilyne 25mg,Drug,N/A,,
27389a68-6fe2-48d7-afdf-9479ca755f18,,Amytriptilyne,Amytriptilyne 50mg/2ml,Amytriptilyne,Amytriptilyne 50mg/2ml,Drug,N/A,,
f3881ef7-8910-4465-8db1-f96634865750,,Antiammon (Yellow Fever) VAA,"Antiamaril (Fièvre jaune) VAA 1 dose/0,5ml",Antiammon (Yellow Fever) VAA,"Antiamaril (Fièvre jaune) VAA 1 dose/0,5ml",Drug,N/A,,
8a52185b-0d72-45cc-aec9-cf2b11f0dfc0,,Antibacterial Gel,Antibactérien Fl/250ml,Antibacterial Gel,Antibactérien Fl/250ml,Drug,N/A,,
b6d5f35f-b7df-4381-b6ef-095d6bb57327,,Antibacterial Gel,Antibactérien Fl/500ml,Antibacterial Gel,Antibactérien Fl/500ml,Drug,N/A,,
1a97a231-fe91-439d-a61c-814c22d37063,,Antidiphtheria / Anti-Tetanus Anti-Pertussis / Anti-Hepatitis B / Antihemophilus Influenzae Of Tpye B (Dtp - Hep B + Hib),Antidiphtérique/Antitétanique/ Anticoquelucheux/AntihépatiteB/Antihémophilus Influenzae de Tpye B (DTC-Hep B+Hib),Antidiphtheria / Anti-Tetanus Anti-Pertussis / Anti-Hepatitis B / Antihemophilus Influenzae Of Tpye B (Dtp - Hep B + Hib),Antidiphtérique/Antitétanique/ Anticoquelucheux/AntihépatiteB/Antihémophilus Influenzae de Tpye B (DTC-Hep B+Hib),Drug,N/A,,
81e6e59b-6865-4913-9ce0-e7ca464fa6dd,,Antihémorroidaire,Antihémorroïdaire 30g,Antihémorroidaire,Antihémorroïdaire 30g,Drug,N/A,,
5fb9ba5e-e316-47f1-b11b-59660a0a9b52,,Antihémorroidaire,Antihémorroïdaire,Antihémorroidaire,Antihémorroïdaire,Drug,N/A,,
f17132f8-f94a-46db-b4c0-de81bd01b741,,Anti-Hepatitis B (Hep B),"Antihépatite B (Hép B) 10µgs/0,5ml",Anti-Hepatitis B (Hep B),"Antihépatite B (Hép B) 10µgs/0,5ml",Drug,N/A,,
d4b55591-6800-42ac-8733-0d5dc280681c,,Anti-Hepatitis B (Hep B),Antihépatite B (Hép B) 20µgs/1ml,Anti-Hepatitis B (Hep B),Antihépatite B (Hép B) 20µgs/1ml,Drug,N/A,,
04b54ae8-2ed4-4bf4-9c53-f921ec212269,,"Antimeningococcal A, C, WYI 35","Antiméningococcique A, C, W Y I 35 50µg/0,5ml","Antimeningococcal A, C, WYI 35","Antiméningococcique A, C, W Y I 35 50µg/0,5ml",Drug,N/A,,
f7bf40f2-7226-4d7c-972d-182fdd7810a4,,Meglumine Antimoniate,"Antimoniate de Méglumine 1,5g/ml",Meglumine Antimoniate,"Antimoniate de Méglumine 1,5g/ml",Drug,N/A,,
ad56cabe-b8b5-4b5e-8f53-f1f2af1ef4ef,,Meglumine Antimoniate,"Antimoniate de Méglumine 8,1%/5ml",Meglumine Antimoniate,"Antimoniate de Méglumine 8,1%/5ml",Drug,N/A,,
47a9000c-c3de-4442-9b1d-838d7993ad13,,Antipoliomyelitis (OPV),"Antipoliomyélite (VPO) 1 dose/0,5ml",Antipoliomyelitis (OPV),"Antipoliomyélite (VPO) 1 dose/0,5ml",Drug,N/A,,
05f421a5-ada2-44f8-b13b-63714394fd7b,,Antirabies,Antirabique 150UI/ml,Antirabies,Antirabique 150UI/ml,Drug,N/A,,
38a51107-3843-4602-8c36-b4ad5cd184e2,,Measles (Var),Antirougeoleux (VAR),Measles (Var),Antirougeoleux (VAR),Drug,N/A,,
9d42657d-ea04-475b-a70f-0257c9ef0acd,,Antitetanus drug,"Antitétanique ≥ 40UI/0,5ml",Antitetanus drug,"Antitétanique ≥ 40UI/0,5ml",Drug,N/A,,
da37e7e6-20d9-4a6a-883c-0b37ca072b47,,"Tetanus Antitoxin, Human","Antitoxine Tétanique, humaine 1500 UI/ml, 1ml","Tetanus Antitoxin, Human","Antitoxine Tétanique, humaine 1500 UI/ml, 1ml",Drug,N/A,,
f84d81a4-c5d0-450b-9787-bdca58f8fe75,,Antituberculosis (BCG),Antituberculeux (BCG) 10 doses/ml pour adulte et enfants à partir de 12 mois,Antituberculosis (BCG),Antituberculeux (BCG) 10 doses/ml pour adulte et enfants à partir de 12 mois,Drug,N/A,,
b9c56a58-1686-401f-9853-f22c2008e21b,,Antituberculosis (BCG),Antituberculeux (BCG) 20 doses pour enfants de moins de 12 mois,Antituberculosis (BCG),Antituberculeux (BCG) 20 doses pour enfants de moins de 12 mois,Drug,N/A,,
0420f46d-184c-4aba-99ce-95dbae354fdc,,Antivenom,Antivenimeux,Antivenom,Antivenimeux,Drug,N/A,,
bbac164a-9536-4d72-b3b8-753b288ec1d2,,Apomorphine,Apomorphine 10mg/ml,Apomorphine,Apomorphine 10mg/ml,Drug,N/A,,
0744300e-93f9-4f9d-850d-30a64e33ad39,,Aqueous Cream,Aqueuse Fl/250g,Aqueous Cream,Aqueuse Fl/250g,Drug,N/A,,
efc46805-f0e7-418c-9d13-a3b771171251,,Artemether,Artemether 200mg,Artemether,Artemether 200mg,Drug,N/A,,
bbb81ca0-1c66-46c5-a72a-bcd9ecc2984e,,Artemether,Artemether 20mg/ml,Artemether,Artemether 20mg/ml,Drug,N/A,,
d43342d3-2ed5-4e1b-935e-924e6e525483,,Artemether,Artemether 40mg/ml,Artemether,Artemether 40mg/ml,Drug,N/A,,
e4217c3c-5984-45dd-a260-330bdd48d77f,,Artemether,Artemether 50mg,Artemether,Artemether 50mg,Drug,N/A,,
4b73a2fb-9094-4b2f-bd8d-5e0a0a4f6271,,Artemether,Artemether 80mg injectable,Artemether,Artemether 80mg injectable,Drug,N/A,,
75a2f6af-1752-47f0-b61c-80aea2902eb9,,Artemether + Lumefantrine,Artemether+Luméfantrine 180/1080mg 60ml,Artemether + Lumefantrine,Artemether+Luméfantrine 180/1080mg 60ml,Drug,N/A,,
e22f6d34-d519-4ee2-a0b9-36c5a5196b1d,,Artemether + Lumefantrine,Artemether+Luméfantrine 20/120mg (6x2),Artemether + Lumefantrine,Artemether+Luméfantrine 20/120mg (6x2),Drug,N/A,,
c38ded8d-16c8-4e0c-b0c8-2e8b45bc1b29,,Artemether + Lumefantrine,Artemether+Luméfantrine 20/120mg (6x3),Artemether + Lumefantrine,Artemether+Luméfantrine 20/120mg (6x3),Drug,N/A,,
39baf293-5881-4341-a94b-99855d781ea0,,Artemether + Lumefantrine,Artemether+Luméfantrine 20/120mg (6x4),Artemether + Lumefantrine,Artemether+Luméfantrine 20/120mg (6x4),Drug,N/A,,
8908f1f1-a0d3-4997-b036-61820db55e3d,,Artemether + Lumefantrine,Artemether+Luméfantrine 80/480mg CP,Artemether + Lumefantrine,Artemether+Luméfantrine 80/480mg CP,Drug,N/A,,
878fa292-9dbe-4223-9736-e53f0c4a9851,,Artesunate,Artésunate 60mg,Artesunate,Artésunate 60mg,Drug,N/A,,
d817a303-7796-4ae4-9527-c92f059f2cf9,,Artesunate + Amodiaquine,"Artésunate+Amodiaquine 100/270mg, 3",Artesunate + Amodiaquine,"Artésunate+Amodiaquine 100/270mg, 3",Drug,N/A,,
852110e7-9d70-4312-89b7-4cd49384bd04,,Artesunate + Amodiaquine,"Artésunate+Amodiaquine 100/270mg, 6",Artesunate + Amodiaquine,"Artésunate+Amodiaquine 100/270mg, 6",Drug,N/A,,
a03f649e-c728-4f43-b92b-cf517513fa3b,,Artesunate + Amodiaquine,"Artésunate+Amodiaquine 25mg+62,5mg",Artesunate + Amodiaquine,"Artésunate+Amodiaquine 25mg+62,5mg",Drug,N/A,,
0583de95-ec3a-4ad0-9d3f-02e90078e830,,Artesunate + Amodiaquine,Artésunate+Amodiaquine 50mg+135mg,Artesunate + Amodiaquine,Artésunate+Amodiaquine 50mg+135mg,Drug,N/A,,
fb2e49e9-3181-449b-9759-f0894f8debc2,,Atenolol,Atenolol 100mg,Atenolol,Atenolol 100mg,Drug,N/A,,
be257163-b086-4d98-a47f-7721f67048fc,,Atenolol,Atenolol 50mg,Atenolol,Atenolol 50mg,Drug,N/A,,
0e2796dc-77bb-4d76-baee-23210b221e26,,Atropine,"Atropine 0,1%",Atropine,"Atropine 0,1%",Drug,N/A,,
333c9304-50f5-442d-b027-5ed96acd3a04,,Atropine,"Atropine 0,25mg/1ml",Atropine,"Atropine 0,25mg/1ml",Drug,N/A,,
a43e7e59-99c9-4eff-8c26-1a162c44d4a0,,Atropine,"Atropine 0,25mg/ml",Atropine,"Atropine 0,25mg/ml",Drug,N/A,,
2d2a282c-6d4c-4fe2-b96a-623898e12b33,,Atropine,"Atropine 0,3%",Atropine,"Atropine 0,3%",Drug,N/A,,
d79e0f49-b1f5-4fa9-8cd3-d17f550cc6d9,,Atropine,"Atropine 0,5%",Atropine,"Atropine 0,5%",Drug,N/A,,
6683d8f3-e039-4dec-88ce-9dace7ad15d8,,Atropine,Atropine 1%,Atropine,Atropine 1%,Drug,N/A,,
420cca99-fbcf-4466-a75c-fa2d30df6cd1,,Atropine,Atropine 1mg/1ml,Atropine,Atropine 1mg/1ml,Drug,N/A,,
a425e91b-f525-4358-9b9d-6eef159087f2,,Atropine,Atropine 1mg/ml,Atropine,Atropine 1mg/ml,Drug,N/A,,
bc6b6042-c60d-4bf7-854d-b05a19f35946,,Atropine Sulfate,Atropine Sulfate 1mg/ml 1ml,Atropine Sulfate,Atropine Sulfate 1mg/ml 1ml,Drug,N/A,,
eb270b24-4c9c-4b98-a06c-6d9972cdacb0,,Bacitracin Alpha Amylase,Bacitracine alpha amylase 400mg,Bacitracin Alpha Amylase,Bacitracine alpha amylase 400mg,Drug,N/A,,
fd38b658-fd01-4700-ad45-59ee0b2f5f25,,Benzathine Benzyl Penicillin,"Benzathine Benzyl Pénicilline 1,2 MUI",Benzathine Benzyl Penicillin,"Benzathine Benzyl Pénicilline 1,2 MUI",Drug,N/A,,
62b8c88e-35a1-43a0-b97a-36ce216558c9,,Benzathine Benzyl Penicillin,"Benzathine Benzyl Pénicilline 2,4 MUI",Benzathine Benzyl Penicillin,"Benzathine Benzyl Pénicilline 2,4 MUI",Drug,N/A,,
6e9fa2a2-b176-4a9e-b37d-6ae8721d6eb4,,Benzathine Benzyl Penicillin,Benzathine Benzyl Pénicilline 600mg,Benzathine Benzyl Penicillin,Benzathine Benzyl Pénicilline 600mg,Drug,N/A,,
a6b7496b-e8f7-4ccd-b8f4-706ebca66233,,Benzathine Benzyl Penicillin,"Benzathine Benzylpénicilline 1,4 MUI",Benzathine Benzyl Penicillin,"Benzathine Benzylpénicilline 1,4 MUI",Drug,N/A,,
a28a5f7c-8477-434b-89a3-3a41ddd2053f,,Benzathine Benzyl Penicillin,Benzathine Benzylpénicilline 600UI,Benzathine Benzyl Penicillin,Benzathine Benzylpénicilline 600UI,Drug,N/A,,
9c14c3a1-5e5d-4302-a03c-8d31b6628dc6,,Benzyl Benzoate,Benzoate de Benzyl 25%,Benzyl Benzoate,Benzoate de Benzyl 25%,Drug,N/A,,
00096ca0-c595-4b67-bdab-c7568d38eeeb,,Benzyl Benzoate Solution,"Benzyle Benzoate 25%, diluée, 125ml FL",Benzyl Benzoate Solution,"Benzyle Benzoate 25%, diluée, 125ml FL",Drug,N/A,,
4456478b-efd7-4bd5-b332-a8511974c9b5,,Benzylpenicillin Sodium PPI,Benzylpénicilline Sodique PPI 1 Méga UI,Benzylpenicillin Sodium PPI,Benzylpénicilline Sodique PPI 1 Méga UI,Drug,N/A,,
c9aafed5-12c1-4739-a7bb-b6856896e94a,,Benzylpenicillin Sodium PPI,Benzylpénicilline Sodique PPI 5 Méga UI,Benzylpenicillin Sodium PPI,Benzylpénicilline Sodique PPI 5 Méga UI,Drug,N/A,,
aa498ba8-47e0-47d4-bd71-2c29cb570939,,Betamethasone,"Bétaméthazone dermique 0.1% 15 g,",Betamethasone,"Bétaméthazone dermique 0.1% 15 g,",Drug,N/A,,
1c45a92b-0d3a-4c7f-89e2-b77fd2ff2eea,,Betamethasone,"Béthaméthasone 0,1%",Betamethasone,"Béthaméthasone 0,1%",Drug,N/A,,
da811c2d-1ed9-4e29-9f9d-97973ebc80a6,,Béthaméthazone,"Béthaméthazone 0.1% 15 g,",Béthaméthazone,"Béthaméthazone 0.1% 15 g,",Drug,N/A,,
e4aaab9d-4c24-4d43-9203-44ca19b905ef,,Sodium Bicarbonate,"Bicarbonate de sodium 1,4%",Sodium Bicarbonate,"Bicarbonate de sodium 1,4%",Drug,N/A,,
7a4ea10c-f23d-4835-8f45-a575213e00d4,,Sodium Bicarbonate,Bicarbonate de sodium 14%/500ml,Sodium Bicarbonate,Bicarbonate de sodium 14%/500ml,Drug,N/A,,
170f5f97-1698-4770-8319-1764ef6e08bc,,Sodium Bicarbonate,Bicarbonate de sodium 42%/250ml,Sodium Bicarbonate,Bicarbonate de sodium 42%/250ml,Drug,N/A,,
a045f452-bc02-41c9-b719-27f605adb7f2,,Biperiden,Bipéridène 2mg,Biperiden,Bipéridène 2mg,Drug,N/A,,
c87139d7-5e3a-44b5-97fc-7d42ee1429d5,,Biperiden,Bipéridène 5mg/ml,Biperiden,Bipéridène 5mg/ml,Drug,N/A,,
9060d10b-9a6d-4245-9c17-69f2a5b42fe0,,Bisacodyl,"Bisacodyl 5mg,",Bisacodyl,"Bisacodyl 5mg,",Drug,N/A,,
970b8e69-f623-4e73-ad55-e7433551c321,,Bleomycin,Bléomycine 15mg/10ml,Bleomycin,Bléomycine 15mg/10ml,Drug,N/A,,
039b6bf2-c674-4400-91ce-e844aae8eb93,,Methylene Blue,Bleu de méthylène 10%,Methylene Blue,Bleu de méthylène 10%,Drug,N/A,,
230efcc0-cef9-4505-a2a3-c229fcc024a9,,Patent Blue N ° 5,Bleu patenté N° 5 50mg/2ml,Patent Blue N ° 5,Bleu patenté N° 5 50mg/2ml,Drug,N/A,,
f664a8a2-e68d-4c0e-8da1-3e725d6956da,,Bupivacaine,"Bupivacaïne 0,25%",Bupivacaine,"Bupivacaïne 0,25%",Drug,N/A,,
13d5084c-2451-4786-bbac-b2ec71798a41,,Bupivacaine,"Bupivacaïne 0,5%",Bupivacaine,"Bupivacaïne 0,5%",Drug,N/A,,
65d1e2a3-de5d-4d8c-9bff-cbfd1acd6bab,,Bupivacaine,Bupivacaïne 500mg/20ml,Bupivacaine,Bupivacaïne 500mg/20ml,Drug,N/A,,
